이름,등급,성향,도메인,포트폴리오
징벌과 복수의 신 말레디크,대신격,선신,"복수, 질서","맹세 집행, 복수, 복수의 맹세, 원한, 응보, 질서 처벌, 징벌, 형벌"
통치와 권위의 신 오르다누스,대신격,회색신,"의지, 질서","권위, 명령, 위계, 정통성, 질서 유지, 통치"
전쟁과 파괴의 신 바르툼,대신격,회색신,"전쟁, 혼돈","광란, 난전, 무차별, 전장 붕괴, 전쟁 재앙, 파괴, 학살"
"번영과 거래, 투자의 신 아바리온",대신격,회색신,"여행, 행운","거래, 계약, 기회, 번영, 재운, 투기, 투자, 행운"
지하세계의 여신 움브라,대신격,회색신,"무덤, 어둠","관문, 무덤 수호, 심연 통로, 안식, 암흑, 지하세계"
"얼음과 냉기, 혹한의 여신 탈라샤",대신격,회색신,"원소, 재앙","냉기, 동결, 빙설, 얼음, 재앙 한기, 혹한"
거짓과 기만의 신 로칸,대신격,악신,기만,"가면, 거짓 맹세, 교란, 변장, 사기, 속삭임, 속임수, 허위"
피와 살육의 신 바르칼라인,대신격,악신,"전쟁, 죽음","살육, 시체의 축제, 전장의 공포, 피, 학살 충동, 해전"
역천과 언데드의 신 네크룸,대신격,악신,"부패, 죽음","부패, 부패한 윤회, 시체술, 언데드, 역천, 죽음 왜곡"
"전쟁과 정복, 포학의 신 볼로고르",대신격,악신,"전쟁, 혼돈","강권, 약탈, 전장 붕괴, 정복, 폭정, 학살"
"물길의 수호자, 수로와 조운의 신 하백용왕",중신격,선신,"수호, 여행, 자연","강의 경계, 나루터, 수로, 수운 보호, 조운, 항로"
"만권의 기록자, 문자와 지식의 신 창문성군",중신격,선신,"시간, 지식, 질서","관료 문서, 기록, 문자, 법전, 역사서, 천문 기록"
기억과 망각의 여신 오블리레테,중신격,선신,"시간, 신비, 지식","기록, 기억, 망각, 추모, 치유"
행운의 여신 찬티아,중신격,선신,행운,"가능성, 길흉, 동전, 우연, 주사위, 카드, 행운"
화산의 신 불카르칸,중신격,선신,"원소, 재앙","분화, 연기, 용암, 재, 재앙, 지열, 화산"
궁사와 사냥꾼의 신 바르니오,중신격,선신,"자연, 전쟁","궁술, 바람, 사냥, 은신, 인내, 추적"
산맥의 신 몬타누스,중신격,선신,"원소, 자연","고산, 광맥, 바위, 산맥, 생존, 인내, 절벽, 침묵"
용의 숨결과 비늘의 신 드라카드,중신격,선신,"원소, 전쟁","공성, 비늘, 용의 숨결, 용혈, 원소 전투, 전쟁 재앙, 파괴적 돌격"
축제와 유흥의 신 바카레스,중신격,선신,"예술, 행운","가면, 예술, 유흥, 축제, 행운, 향락, 환희"
"언어와 문자, 기록의 신 로기온",중신격,선신,지식,"관료 문서, 기록, 문서화, 문자, 법전, 서신, 언어"
"모래와 사막, 인내의 여신 사하르",중신격,선신,"의지, 자연","고행, 메마름, 사막, 생존, 시련, 인내"
"숲과 초목, 초원의 여신 아르데아",중신격,선신,자연,"녹음, 번성, 생태, 성장, 숲, 초목, 초원"
맹독과 늪의 여신 베노미라,중신격,선신,"부패, 자연","늪, 독, 맹독, 부패, 오염, 전염, 해독"
거지와 방랑자의 신 미그라,중신격,선신,"여행, 평화","구걸, 방랑, 생존, 여행길, 자비"
"비와 눈, 폭풍우의 여신 이리디아",중신격,선신,"원소, 폭풍","눈, 비, 우박, 장마, 재앙, 폭우, 폭풍우"
"장례와 매장, 애도의 신 오비투스",중신격,선신,무덤,"매장, 명부, 무덤 수호, 애도, 염습, 장례, 추모"
번개와 천둥의 신 아르게스,중신격,선신,"원소, 폭풍","낙뢰, 뇌전, 번개, 천둥, 폭풍우, 하늘의 격노"
야성과 짐승의 신 카르녹,중신격,선신,"자연, 혼돈","광야, 본능, 사냥, 야성, 짐승, 추적, 포식"
"전쟁과 전술, 책략의 신 시지아스",중신격,선신,"전쟁, 지식","병법, 전술, 정보전, 지도, 지휘, 책략, 행군"
"그늘과 휴식, 구름의 신 오르네스",중신격,선신,"평화, 황혼","구름, 그늘, 안식, 잠, 포근함, 황혼, 휴식"
"고요함과 멈춤, 호수의 여신 미레노아",중신격,선신,"자연, 평화","고요, 성찰, 정지, 침묵, 평화, 호수"
"발명과 번뜩임, 도약의 신 볼티르",중신격,선신,"개척, 대장간, 지식","공방, 공학, 기계, 기술, 도약, 발명, 착상, 혁신"
그림자와 도둑의 신 녹티스,중신격,회색신,"기만, 어둠","그림자, 도둑, 도주, 비밀, 은신, 잠입, 절도"
재와 연기의 여신 애신드라,중신격,회색신,"원소, 황혼","연기, 재, 재생, 정화광, 포용, 황혼"
"경계와 숨김, 안개의 신 노르시스",중신격,회색신,"기만, 황혼","경계, 보호의 장막, 숨김, 안개, 은신, 은폐, 황혼"
금속과 광물의 신 칼바르,중신격,회색신,"대장간, 원소","광맥, 광물, 금속, 암반, 정련, 제련, 채굴"
"격류와 흐름, 강의 신 리브라스",중신격,회색신,"원소, 자연","강, 격류, 물살, 범람, 치수, 항로, 홍수"
"균류와 버섯, 부식의 신 로타비아스",중신격,회색신,"부패, 자연","균류, 버섯, 부식, 부패, 분해, 오염, 포자"
"지맥의 중심축, 중악황룡제군(中嶽黃龍帝君)",중신격,회색신,"수호, 자연, 질서","권위, 균형, 대지, 영맥, 황권"
북방의 얼음수호군 현명진무대군(玄冥眞武大君),중신격,회색신,"수호, 신비, 자연","겨울, 고요, 얼음, 지혜, 침묵"
서방의 강철호신 철악백호장군(鐵嶽白虎將軍),중신격,회색신,"수호, 전쟁, 질서","강철, 병기 제작, 수호 맹세, 징벌, 형벌"
잿더미의 부활조 염화주작천후(炎華朱雀天后),중신격,회색신,"생명, 원소, 정화","재, 재생, 잿더미의 부활, 정화광, 태양, 화산"
동방의 새싹용신 창림청룡대성(蒼林靑龍大聖),중신격,회색신,"생명, 자연, 질서","봄, 생명 순환, 생명력, 성장, 숲, 탄생"
왕조의 흉길을 울리는 금오 금오태자(金烏太子),중신격,회색신,"빛, 운명, 재앙","대화재, 시대 전환, 예언, 왕조의 흥망, 태양, 태양의 흉조와 길조"
인연의 미궁을 읽는 천호 구현천호낭랑(九玄天狐娘娘),중신격,회색신,"기만, 신비, 운명","길흉, 매혹, 변장, 예지, 운명의 실"
"침몰한 비밀의 왕, 심연흑룡왕(深淵黑龍王)",중신격,회색신,"신비, 재앙, 죽음","공포, 비밀, 심연, 심해, 암흑 해역"
"만마의 주인, 역천의 신 천마",중신격,회색신,"의지, 전쟁, 혼돈","강자존, 마도, 무공의 극의, 성화, 약육강식, 약자도태, 역천, 인간 초월"
"쇠불의 장인, 대장간과 제련의 신 야철성군",중신격,회색신,"개척, 대장간, 지식","공방, 도선 제작, 병기 제작, 성벽과 기계 장치, 제련"
"명부의 재판관, 죽음과 윤회의 신 염라",중신격,회색신,"무덤, 죽음, 질서","망자의 길, 명부, 심판, 윤회, 저승의 법, 죄업"
"천명의 주재자, 하늘 질서의 신 옥황",중신격,회색신,"시간, 운명, 질서","예법, 왕조의 승인, 천계 관료제, 천명, 천문율, 황권"
"비구름의 군주, 강과 풍요의 신 청룡대제",중신격,회색신,"생명, 자연, 폭풍","강, 비, 수맥, 용혈 왕조, 치수, 풍요"
"신산의 호령자, 산악과 수호의 신 백악산군",중신격,회색신,"무덤, 수호, 자연","산악 영지, 산중 결계, 신산, 조상묘의 수호, 호랑이"
"맹세의 집행자, 법과 형벌의 신 법도천군",중신격,회색신,"복수, 수호, 질서","계약, 맹세, 반역자 처벌, 재판, 형벌"
부패와 질병의 여신 모르간,중신격,악신,"부패, 죽음","감염, 부패, 역병, 오염, 질병"
고통과 절망의 신 페레고르,중신격,악신,"어둠, 재앙","고통, 공포, 금지지식, 붕괴, 악몽, 절망"
"불행과 배신, 이간질의 여신 말리사",중신격,악신,"기만, 혼돈","배신, 불행, 속삭임, 원한, 이간질, 저주, 질투"
가뭄과 기근의 신  우르투스,중신격,악신,"부패, 재앙","가뭄, 기근, 메마름, 부패, 불화, 붕괴, 재앙, 황폐"
매혹과 색욕의 여신 루스튀아,중신격,악신,"기만, 예술","가면, 거미, 기만적 아름다움, 매혹, 색욕, 속삭임, 유혹, 중독"
분노와 복수의 신 자르카스,중신격,악신,"복수, 혼돈","격노, 복수, 분노, 원한, 응보, 징벌, 혼돈"
"도박과 탐욕, 중독의 신 벨투스",중신격,악신,"기만, 행운","도박, 사기, 속임수, 중독, 탐욕, 한탕, 행운"
해충과 역병의 여신 벨로지아,중신격,악신,"부패, 재앙","감염, 공황, 부패, 역병, 재앙, 전염, 해충, 흉작"
"곡식의 어머니, 농경과 생명의 여신 농황신후",소신격,선신,"생명, 자연, 화로","곡식, 농업, 부엌과 식량 저장, 수확, 파종"
"백초의 현자, 의술과 해독의 신 약왕진인",소신격,선신,"생명, 정화, 지식","약초, 역병 치료, 의술, 장생술, 해독"
"백염의 주인, 태양과 정화의 여신 일륜천후",소신격,선신,"빛, 정화, 질서","백염, 부정 정화, 신성 제례, 태양, 황실 혈통"
검은 갑각의 신 카르카노스,소신격,회색신,"수호, 전쟁, 질서","관문, 방패, 보호, 성채, 질서"
흑묵과 맹약의 신 오르시온,소신격,회색신,"신비, 운명, 지식","계약, 기록, 기억, 맹세, 문자, 예언"
독빛과 표류혼의 여신 베살리아,소신격,회색신,"신비, 운명, 죽음","망자의 길, 맹독, 예언, 장례, 조류"
진주길의 여신 네레이온,소신격,회색신,"여행, 질서, 행운","교역, 귀환, 나루터, 무역로, 통행 안전, 항로"
붉은 해성의 여신 아스테리아,소신격,회색신,"생명, 신비, 자연","굿, 재생, 태양, 황실 혈통"
"재앙의 열기, 홍련적룡군(紅蓮赤龍君)",소신격,회색신,"원소, 재앙, 전쟁","가뭄, 분노, 열기, 전쟁 재앙, 화염 재앙"
"서풍의 판정자, 서풍백룡진군(西風白龍眞君)",소신격,회색신,"자연, 전쟁, 질서","금속, 수확, 심판, 질서 유지, 편서풍"
"길을 여는 바람, 폭풍과 여행의 신 풍백장군",소신격,회색신,"여행, 원소, 폭풍","계절풍, 길을 여는 바람, 바람, 사절단, 행군"
"검은 밤의 파수자, 어둠과 비밀의 신 현야신군",소신격,회색신,"기만, 신비, 어둠","감춰진 진실, 그림자, 비밀 결사, 암살, 은신"
"달그림자의 예언자, 꿈과 운명의 여신 월영성모",소신격,회색신,"꿈, 신비, 운명","꿈의 계시, 달, 밤의 기록, 예언, 점성"
"성난 파도의 장수, 폭풍과 해전의 신 해뢰군",소신격,회색신,"재앙, 전쟁, 폭풍","난파, 바다 폭풍, 번개, 해상 격변, 해전"
"혼길의 중재자, 무속과 접신의 여신 무령할미",소신격,회색신,"생명, 신비, 죽음","굿, 무속, 산 자와 죽은 자의 중재, 접신, 치유, 혼 부름"
"승천 실패의 흉조, 흑린망룡(黑鱗亡龍)",소신격,악신,"신비, 재앙, 죽음","영맥, 오염, 원한, 재앙, 타락"
"피맹세의 추적자, 원한과 복수의 신 암향신군",소신격,악신,"기만, 복수, 어둠","밤의 추적자, 복수의 맹세, 암살, 원한"
형언할 수 없는 미지의 화신,?????,회색신,"광기, 혼돈","공포, 광기, 절망, 혼돈"
아득한 혼돈의 카우나스,?????,?????,"광기, 혼돈","광기, 혼돈"
